"ООО ""АСТИМА""",127254,Москва,"Огородный проезд, д. 20 а, стр. 1, офис 14 (второй этаж), территория Автокомбината № 36","Производство регулирующей и специальной трубопроводной арматуры для теплоснабжения, водоснабжения, пароконденсатных систем",doc@a-stm.ru; info@a-stm.ru; info@a-stm.ru,7(495)787-42-84,http://asteama.ru
"ООО ""Агромолсервис""",214018,Смоленск,"пр-т Гагарина, 60 ",Производство и продажа запасных частей к молочному оборудованию,agromol2009@rambler.ru,7(4812)41-83-10; 7(4812)52-00-62,http://agromol67.ru
"ЗАО ""Алмаз""",141313,Сергиев Посад,"Московское шоссе, д. 17",Производство дверей,mzalmaz@mail.ru,7(496)540-51-11,http://www.spmz.ru
"ООО""АПН-Центрснаб""",,Электросталь,Строительный пер. д. 6 ,"Производство регулирующей и специальной трубопроводной арматуры для теплоснабжения, водоснабжения, пароконденсатных систем",apn-centrsnab@ya.ru; snab@apn-centrsnab.ru,7(495)961-06-34,http://apn-centrsnab.ru
"ООО «ПКО ""АТЭСИ""",140000,Люберцы,"Красная 1, кор. Литера Б, Б1","Произв. всё для кухни. Оборуд, вент, электро-мех.",info@atesy.info,7(495)995-95-99; 7(499)918-02-64,https://atesy.ru
"ИП ""Ащеулов В.А.""",,Подольск,,,9162703806@mail.ru,7(8639)29-29-29,
АО «АЭМ технологии»,347360,Волгодонск,"ул. Жуковское шоссе, д.10",,,,http://www.aemtech.ru
"ОАО ""Балашихинский литейно-механический завод""",143900,Балашиха,"ш. Энтузиастов, 4 ",,info@blmz.ru,7(495)639-94-94,http://www.blmz.ru
"АО ""ПО ""Бежицкая сталь""",241038,Брянск,"ул.Cталелитейная, д.1А ",,umtsmet@bstal.ru,7(4832)71-57-41; 7(4832)71-56-38,http://bstal.ru
ООО «БГ-ТУЛС-МСИ»,,Люберцы,"Железнодорожная ул., д.4 ",,bur@bg-tools.ru,7(495)517-17-38; 7(495)557-02-03,http://bg-tools.ru
ООО «БиоПласт»,,Москва,"ул. Флотская, д. 5а, офис 409 ",,snab@helyx.ru,7(495)268-33-38,http://www.helyx.ru
ЗАО «Вакуумные Ионные Технологии»,143500,Истра,,Разработка способов и технологий в области вакуумных ионно-плазменных электродуговых методов нанесения покрытий,info@pvdcoating.ru,7(49831)4-50-17,http://www.pvdcoating.ru
АО «Вагонная ремонтная компания - 2»,115088,Москва,"Угрешская ул., д. 2, стр. 149 ",,,,https://2vrk.ru
ООО «ВИКОМ»,170017,Тверь,"ул. Коняевская, д.12",Производитель уличных и тамбурных напольных грязезащитных покрытий,info@грязьзащита.рф,7(4822)390-190,http://грязьзащита.рф
Волжский электромеханический завод Металлоконструкции из различных сталей,,Дубна,"ул. Дружбы, д. 19",,vemz@dubna.ru; vemz@vemz-dubna.ru,7(496)214-55-94,http://vemz-dubna.ru/
"АО ""ГМС Ливгидромаш""",303851,Ливны,"ул. Мира, 231",,bsn@hms-livgidromash.ru,7(48677)7-80-10,http://www.hms-livgidromash.ru
ООО «Грузоподъемспецтехника-Архангельск»,163000,Архангельск,"ул. Победы, д. 68 ",Производство профессионального грузоподъемного оборудования,zakup@gruzap,7(8182)45-71-46,https://gruzup.ru
ООО «Дмитриевский химический завод»,155800,Кинешма,ул. Производственная д.1,,export@dcpt.ru,,https://www.dcpt.ru
АО «Завод РЭТО»,115201,Москва,"ул. Старокаширское шоссе, дом 4а",,marketreto@mail.ru,7(499)346-11-65,http://www.zreto.ru
АО ”Кимовский радиоэлектромеханический завод”,301723,Кимовск,"ул.Коммунистическая, дом 3",,omis.kremz@yandex.ru; kremzinfo@mail.ru,7(48735)5-42-31,http://www.крэмз.рф
"ОАО ""Ковровский электромеханический завод""",601919,Ковров,"ул. Крупской, 55",,kancelar@mail.ru,7(49232)9-30-55,http://www.kemz.org
"ПАО ""Калориферный завод""",,Кострома,"ул. Красная Байдарка, д 2",,metall.kkz@mail.ru,7(4942)42-57-23; 7(4942)32-23-63,http://www.kkz.ru
Атлант,,Химки,"ул.Первомайская, д. 54","Произв и установка метал и стальн изд. Перила из нержавейки, ограждения лестниц, поручни.",info@sigma6.ru,7(499)347-47-41,http://www.sigma6.ru
ОАО «Лысковский электротехнический завод»,606211,Лысково,"ул. 1-ая Заводская, д.1",,komdir@letz.ru,7(83149)5-06-62,http://www.letz.ru
ОАО «Монтажавтоматика»,140000,Люберцы,"ул. Котельническая, д.22",,uaa@lzma.ru; gdr@lzma.ru,7(499)707-77-77,http://www.lzma.ru
ОАО «Люберецкий электромеханический завод»,140000,Люберцы,"ул. Транспортная, д. 6.","лектротехн оборуд для жел транспорта, общепромышлен назначения.",INFO@OOOLEMZ.RU,7(495)445-55-95,http://aolemz.ru
"Московский машиностроительный завод ""Знамя""",,Москва,"ул. Большая Новодмитровская, д. 23",,snab30@yandex.ru; mts@znamia.ru,7(499)702-42-89,http://znamia.ru
АО «МПО им. И. Румянцева»,127015,Москва,ул.Расковой д.34,производ гидромеханических систем топливопитания,,7(495)502-19-22,http://www.mporum.ru
"АО ""Муромский радиозавод""",602264,Муром,"Радиозаводское шоссе, 23",,,7(49234)3-17-26,http://site.muromrz.com
ОАО «Мценский литейный завод»,303032,Мценск,"улица Автомагистраль, здание 1/12, строение 4",,,,http://www.mlzmetals.com
"АО ""Особое конструкторское бюро противопожарной техники""",,Торжок,,,mto_okbpt@mail.ru,7(48251)9-11-86; 7(48251)9-12-84,https://okbpt.gorodtorzhok.ru
"ОАО ""Ракитянский арматурный завод""",,,"Белгородская обл., пос. Ракитное, ул. Пролетарская, 26",Трубопроводная арматура из чугуна и стали,snab@oaoraz.ru,7(47245)55-1-63; 7(47245)55-6-41,http://oaoraz.ru
"ООО ""Ратира""",143500,Истра,"Первомайская ул., 4, 35",мех обработка,oae-met@mail.ru,,
ЗАО «ВИК «Тензо-М»,140050,,"Московская область, Люберецкий район, пос. Красково, ул. Вокзальная,38 ",Производитель весоизмерительной техники,pvv@tenso-m.ru; tenso@tenso-m.ru,7(495)745-30-30; 7(495)777-01-33,https://www.tenso-m.ru
Газовый инжектор,,Москва,Каширское шоссе д. 43 ,Газ оборудование для автомобильного транспорта и газовых электростанций.,gasinjector@mail.ru,,http://gasinjector.ru
"Завод ""ИнтерМаш""",,Москва,"ул. Южная, 8",,snab@intmash.com,7(495)500-09-09,https://intmash.com
Ирбис,143983,Балашиха,"ул. Керамическая, 2а","Холодильные камеры, технич двери",snab@irbispro.ru,7(499)350-23-95,https://irbispro.ru
ООО «Завод лестниц на металлическом каркасе»,108803,Москва,"п. Воскресенское, д. Ямонтово, д. 71",,commerc@zavod-lestnic-na-metalle.ru,7(499)648-07-25,http://лестница-на-металле.рф
ЗАО «ЗИОСАБ»,142103,Подольск,"ул. Железнодорожная, д. 2",Выпуск горелочных устройств,info@ziosab.ru,7(495)913-25-63; 7(495)913-25-66,http://ziosab.ru
"ПАО ""Карачаровский механический завод""",109052,Москва,"Рязанский проспект, 2c4 ",,ToltsisEM@kmzlift.ru,7(495)787-99-55,https://www.kmzlift.ru
ООО «КВО-АРМ»,141100,Щелково,"Пролетарский пр–кт, д. 8 к.1 ","Шаровые краны, задвижки",snab@kvo-arm.ru,7(495)221-63-14; 7(495)221-63-24,http://www.kvo-arm.ru
АО «Красная Звезда»,115230,Москва,"Электролитный проезд, д.1А ",,ph@npc-elegia.ru,7(499)613-88-88,http://www.redstaratom.ru
"ООО ""Л-Петро""",,,,,,,
ООО «ЛЭМ»,108811,Москва,"Киевское шоссе, 22-й км., домовладение 4, строение 1, блок А, офисный подъезд 9, этаж 9 ",,info@lem-ltd.ru,7(499)684-00-16,http://www.lem-ltd.ru
"ООО ""МагиСТр""",142805,Ступино,,Разработка конструкторской документации и производство нестандартного оборудования.,mag-st@mag-st.ru,7(49664)11-208,http://mag-st.yp.ru
ООО «Московский завод специализированных автомобилей»,107370,Москва,"Открытое шоссе, дом 12, стр. 1",,dir@mzsa.ru; zakaz@mzsa.ru; mzsa@mzsa.ru,,http://www.mzsa.ru
ГК ПО «Нефтехимавтоматика»,115201,,"ул. Котляковская, д. 3 стр 13 оф. 401",,,7(495)255-18-55,https://nhavtomatika.ru
"ЗАО ""НПО ""Механик""",248017,Калуга,ул. Московская 292 ,,omts@m-40.ru,7(4842)75-75-08,http://m-40.ru
АО НПП «Звезда» им. академика Г.И. Северина,140070,,"Московская область, пос. Томилино, ул. Гоголя, 39",,zvezda@npp-zvezda.ru,7(495)557-17-09,http://www.zvezda-npp.ru
АО «РНПК» Роснефть,,Рязань,"район Южный промузел, д.8 ",,,7(4912)93-31-80,http://zakupki.rosneft.ru
"ПАО Приборный завод ""Сигнал""",249035,Обнинск,"пр. Ленина, 121",,yava@pz-signal.ru; snab@pz-signal.ru,7(484)399-34-71,http://www.pz-signal.ru
ПАО «Саранский приборостроительный завод»,430030,Саранск,"ул. Васенко, 9",,spz-oz@saranskpribor.ru,7(8342)29-65-32,http://saranskpribor.ru
"ООО ""Север-Сервис""",,Ярославль,,мех обработка,sever-servis1967@yandex.ru,,
"ООО ""Сельхозмаш""",,Люберцы,"Проектируемый проезд 4296, д.4","Косилки, сеялки",sellhozmash@mail.ru,7(495)554-23-89,http://www.selhozmash.ru
ООО «Сервисгазавтоматика»,119334,Москва,"Канатчиковский проезд, дом 1, стр 1",,sga@fsga.ru,7(495)221-38-73,http://fsga.ru
"АО АХК ""ВНИИМЕТМАШ""",109428,Москва,"Рязанский проспект, д 8а",высокотехнологичное металлургическое оборудование,torgi@vniimetmash.ru,7(495)730-46-64; 7(495)730-10-59,http://vniimetmash.com
"ГК ""ИКС"" Завод металлических конструкций ""МАМИ""",,Москва,ул. Краснобогатырская д.13 оф. 414,,,7(499)653-75-03,https://www.zmk-mami.ru
"ГУП ""Брянсккоммунэнерго""",,,,,,7(4832)62-47-30,
ООО «ТЕХРЕСУРС»,,,"Московская область, городской округ Мытищи, деревня Бородино, Осташковское шоссе, 59",производство строительного и садового оборудования,,,http://vinco.ru
ООО «Воскресенский завод машиностроитель»,40200,Воскресенск,ул. Гаражная 1,,snab-vzm@mail.ru,7(496)443-37-07; 7(496)443-35-68,http://vzmpro.ru
ОАО «Владимирский завод электроприбор»,600017,Владимир,"ул. Батурина, д. 28",,61otdel@mail.ru,7(4922)33-32-98; 7(4922)47-88-74,http://electropribor.ru
"АО ""Вяземский машиностроительный завод""",215110,Вязьма,"ул. 25 Октября, д. 37",,omts@vyazma.su; omts-15@vyazma.su,7(48131)3-48-08,http://www.vyazma.su
АО «Газпромнефть-МНПЗ»,109429,Москва,"Капотня, 2-й квартал, д.1, корп.3",,,7(495)734-9200,https://mnpz.gazprom-neft.ru/
ООО «Газпром центрремонт»,,Москва,,,,7(499)580-45-80,http://centrremont.gazprom.ru
"ООО ""Газпром энерго""",,Москва,,,,7(495)428-45-60; 7(495)428-42-33,http://gazpromenergo.gazprom.ru
АО «Геомаш»,,Щигры,"ул. Красная, 54",Буровое оборудование,geo8971@yandex.ru; omto@geomash-zavod.ru,,https://www.geomash.ru
"ООО ""Гидравликом""",,Москва,"ул. Молодогвардейская, д. 59, стр. 4",,info@gidravli.com,7(495)120-22-41,https://gidravli.com
"ООО ""Гидравлические Комплексные Системы""",111123,Москва,"шоссе Энтузиастов, д.56, стр.25",,,7(495)210-34-12,https://dynamotors.ru; http://www.hisco.ru/
"ГК ""Воздушные фильтры""",105425,Москва,ул. 3-ая Парковая д.41А,,,,http://filters.ru
ООО ГК «Подъём»,,Москва,"ул. Гарибальди, 29, 2",,ermz@mail.ru,7(499)120-70-77; 7(499)707-70-89,http://www.mklifting.ru
АО Гороховецкий завод подъемно-транспортного оборудования «Элеватормельмаш»,601480,Гороховец,"ул.Набережная, 60",,elevator@r52.ru,7(49238)2-26-76,http://elevatormelmash.ru
Группа предприятий «ЭКОМАШ»,142400,Ногинск,,,111196@mail.ru,7(495)663-92-04,http://www.ecomash.ru
"ОАО ""ДОКОН""",142000,Домодедово,"Улица Каширское шоссе, д 14",,oomtr@docon.ru,7(496)797-45-25,http://www.docon.ru
"ОАО ""Дубненский машиностроительный завод им. Н.П. Фёдорова""",141983,Дубна,"ул. Жуковского, 2",,,7(496)217-20-37; 7(496)217-20-32,http://dmzdubna.ru
Завод «Гусар»,601506,Гусь-Хрустальный,"ул. Транспортная, д. 57",Арматурный завод,,7(499)553-00-33,https://gusarm.ru
"ЗАО ""Завод мехатронных изделий""",141540,,"Московская область, Солнечногорский р-н, пгт. Поварово, м/р-н Лесхоз, д. 43, оф. 5",,sklad@zaozmi.ru; a1645@bk.ru,7(495)777-01-61,http://zaozmi.ru
"ЗАО Завод специального машиностоения ""МАЯК""",248010,Калуга,,,zakupki-mk@yandex.ru,7(4842)751-804,https://zsm-m.ru
ООО «Заречный механический завод»,141100,Щелково,"ул. Заречная, д. 109 А",,zakaz@zmzavod.ru,7(495)21-21-581,https://zmzavod.ru
"ООО ""Мачт-Проект""",153035,Иваново,ул. Свободная д. 2,"Проектирование производство и монтаж мачт, антенно-мачтовых сооружений (завод производитель)",,,http://machta.com
"ООО ""Металлист-ОСА""",,Москва,,,zavod@metallist-osa.ru; nfo@metallist-osa.ru; ooo_metallist@mail.ru,,http://metallist-osa.ru
"Кластер ""Промтехдубна""",,Дубна,,,speczakup3@promtech-dubna.ru; snab@promtech-dubna.ru,7(495)526-69-74,http://dubna-cluster.ru
Полимех,,Москва,"проспект Вернадского, 101к4",,snab@polimech.ru,,http://polimech.ru
Концерн «Моринформсистема-Агат»,,Москва,"Шоссе Энтузиастов, 29",,omto@concern-agat.ru,,https://concern-agat.ru
ООО «ЛУКОЙЛ-Транс»,115035,Москва,"Большая Ордынка, д. 1",,,7(495)980-33-00,http://trans.lukoil.ru
ООО «Модульные котельные системы»,143080,,"Московская обл.,Одинцовский р-он, пос. Лесной Городок,ул. Школьная д. 1, а/я 1,ТДК Город, 10 этаж",,ms5@modks.com,7(495)77-594-77,http://modks.com
"ОАО ""МСИ ЛЗМО""",,Люберцы,"ул. Железнодорожная, д. 4",Люберецкий заводмостостроительного оборудования,,,http://www.msi-lzmo.ru
ООО «Мосэлектрощит»,601903,Ковров,"ул. Волго-Донская, д. 33",,info@moselectroshield.ru,8(4923)26-76-61,http://www.moselectroshield.ru
"АО ""Муромский стрелочный завод""",602262,Муром,"ул. Стахановская, 22а ",,omtovm@oaomsz.ru,,http://www.oaomsz.ru
"ООО ""Муромский завод климатического оборудования""",,Муром,,,mzko@mail.ru,,http://www.mzko.ru
Научно-производственная проектно-конструкторская фирма «ЭВТ»,601141,Петушки,"ул. Клязьменская, 34",,nagr@rambler.ru,7(977)917-24-507; 7(499)406-00-25,http://evt-vak.ru
Нижегородский научно-исследовательский институт машиностроительных материалов Прометей,603003,Нижний Новгород,"ул. Баррикад, д.1 ",,info@prometey.nnov.ru,,http://prometey.nnov.ru
ООО «Нижегородский завод теплообменного оборудования»,603003,Нижний Новгород,"ул. Баррикад, дом 1 корп. 6",,zakupki@nnzto.ru,7(495)021-89-24; 7(800)555-81-91,https://nnzto.ru
"АО ""НПК Дедал""",,Дубна,,,,,https://www.dedal.ru
"АО ""НПК Конструкторское бюро машиностроения"" ",140402,Коломна,"Окский пр., 42 ",Оперативно-тактические и тактические ракетные комплексы,metall@kbm.ru,,https://www.kbm.ru
ООО НПО «Газтехномаш»,140180,Жуковский,"ул.Гастелло, д.1а, гл. корпус №1",,mail@npogtm.ru,7(495)580-58-46,http://www.npogtm.ru
ООО НПФ «Техэнергокомплекс»,140012,Люберцы,"ул. Транспортная, д. 1 ","Произ-во электротех оборуд для распред устройств: трансф пунктов, подстанций",tsaenergo@mail.ru,7(495)971-21-64,http://www.tecomplex.ru
ОАО «Пластик»,301600,Узловая,"ул. Тульская, д. 1",,,7(48731)2-44-69,http://oaoplastic.ru
АО «РГ-Ремсервис»,140004,Люберцы,"1-й Панковский пр-д, д. 1 «В» ",Ремонт гидоцилиндров и гидроагрегатов,,7(495)225-6100,http://www.rg-rem.ru
АО Раменский приборостроительный завод,140100,,"Московская обл., Раменское, ул. Михалевича, д. 39 ",,,7(496)46-46-735,http://www.rpz.ru
НПФ «Центргазгеофизика»,171506,Кимры,ул. Ленина 111,,,7(48236)3-28-35,http://www.cggf.ru
НПО «НАУКА»,125040,Москва,"3-я ул. Ямского поля, владение 2",Разраб и произв агрегатов и систем жизнеобеспечения для всех типов летательных аппаратов,,7(495)775-31-10,https://npo-nauka.ru
АО «Объединенная двигателестроительная корпорация» ,105118,Москва,"проспект Буденного, 16, к.2",,info@salut.ru; info@uecrus.com,,http://www.salut.ru
Обнинский завод нестандартного оборудования «ОЗОН»,,Обнинск,"Киевское шоссе, 108 км",,ozon-obninsk@mail.ru,,http://ozon-obninsk.ru
"OOO ""Полет Агро""",,,"Московская область, п. Михнево, ул. Донбасская, вл. 75",,snab@polag.ru,,https://www.polag.ru
"ИП ""Покатило В.В.""",127572,Москва,"ул. Угличская, д. 19, кв. 24",,ip7764683@gmail.com,7(499)976-61-00; 7(499)976-17-37,
ОАО Приборный завод «Тензор»,141980,Дубна,"ул. Приборостроителей, д.2",,,7(496)217-13-43,http://www.tenzor.net
"ООО ""ПРОМСИЛТЭК""",143080,,"Московская обл, р-н Одинцовский, п. Внииссок, тер. 28 км Можайского Шоссе дом 1А, оф.3","Производство сборных (панельных) силосов, бункеров для сыпучих материалов",promsiltek@gmail.com,,http://promduct.ru
"ЗАО ""Ридан""",,Нижний Новгород,,,,7(831)277-88-55,http://www.ridan.ru
ООО «Торговый Дом УзХМ-Сервисный центр» ,603000,Нижний Новгород,,Производство нефтехимического оборудования,tdomzu@mail.ru,7(831)230-69-00; 7(831)230-79-00,http://tduzhm.ru
"ЗАО ""Система-центр""",,Орёл,"Наугорское шоссе, д. 5",Производство светодиодов,radar-elplast@mail.ru,,http://www.sistema-center.ru
ЗАО «Ступинский механический завод»,,Ступино,ул. Жданова вл 7,,avagregat@yandex.ru,7(496)647-52-03,http://stumex.com
"ООО ""СУ-19""",123290,Москва,"1-ый Магистральный пр., 11, стр.1",производство лифтовой техники,mdm-lift@bk.ru; info@su-19.com,,https://www.lift-cy19.ru
"ЗАО ""Счётприбор""",302005,Орёл,"ул. Спивака, 74А",,snabzhenie@schetpribor.ru,,http://www.schetpribor.ru
ЗАО «Талнахский механический завод»,300911,,"Тульская область, Ленинский р-он, д.Варваровка, Варваровский проезд, 12",Комплектующие и детали для трубопроводов,tmztula@mail.ru,7(4872)24-16-62; 7(4872)24-16-63; 7(4872)24-16-65; 7(800)250-71-99,http://www.tmz-zavod.ru
"ООО ""ТеплоЭнергоОборудование""",109153,Москва,"Жулебинский б-р, д.15",,teo@teo97.ru,,http://www.teo97.ru
"ООО ""ТехноЛ""",117042,Москва,"ул. Южнобутовская, д.80",,info@lasertech.ru,7(495)995-20-28; 7(495)741-84-93; 7(495)741-84-98,http://www.lasertech.ru
ООО «Техноникс»,,Дубна,"ул. Дачная д.1, стр. 13",Проектировании и производстве нержавеющего оборудования,technonics@dubna.ru,,http://technonics.ru
"ЗАО ""ТЕХОС""",140301,Егорьевск,"ул. Владимирская, дом 16",,texoc@mail.ru,,http://tehos.tech
"АО ""Транснефть – Верхняя Волга""",603950,Нижний Новгород,"пер. Гранитный, 4/1",,,,https://uppervolga.transneft.ru
"ООО ""Тульский завод Монтажавтоматика""",300016,Тула,"ул. Новотульская, д. 16",,info@tzma.org,7(4872)35-81-99,http://tzma.org
"Тульский механический завод ""Ресурс""",301114,,"Тульская обл., Ленинский район, рабочий поселок Плеханово, ул. Ленина, 174",,tmzresurs@mail.ru,7(902)843-68-70,http://tmzresurs.ru
ПАО «Тульский оружейный завод»,300002,Тула,"ул. Советская, 1 А",,,,http://www.tulatoz.ru
ООО «УЗТПА»,140093,Дзержинский,"ул. Лесная, д. 34",Угрешский завод трубопроводной арматуры,,,https://uztpa.ru
OAO «Элеватормельмаш»,305018,Курск,"пер. Элеваторный, д. 14",,gs344@gscor.com; emm@gscor.com,7(471)277-02-58,http://emmkursk.ru
DOORHAN,143002,,"Московская обл., Одинцовский р-н, с. Акулово, ул. Новая, д. 120","Ворота, рольставни",snab@doorhan.ru,7(495)933-24-00,http://www.doorhan.ru
ООО «АвиаПром»,141983,Дубна,,,info@aviaprom.su,7(495)988-42-67,http://aviaprom.su
ЗАО НПО «Аркон»,111116,Москва,"ул. Авиамоторная, д. 2, к.1",Трубопроводная арматура,snab@arkonnpo.ru,,http://www.arkonnpo.ru
Воронежский механический завод,394055,Воронеж,"ул. Ворошилова, д.22",,vmz@npoem.ru; os_105@mail.ru,7(473)234-86-69; 7(473)234-82-05,http://vmzvrn.ru
ООО «ГЛАПС»,170100,Тверь,"ул. Индустриальная, д. 19",завод по металлообработке и производству запчастей,info@glaps.ru,7(4822)77-05-35,http://glaps.ru
ООО «Гроссберг Трэйд»,143002,Одинцово,"ул. Западная, д.13",Производство и продажа грузоподъемного оборудования,info@cranepro.ru; info@grossberg.biz; info@gross-berg.ru,7(495)665-84-70,http://cranepro.ru; http://m-tal.ru
ООО «ДЗК»,,Москва,"ул. Авиамоторная 65, стр.1",производитель металлических конструкций для защиты картера двигателя,info@dzk.ru,7(495)777-42-30; 7(926)010-39-42,http://dzk.ru
"АО ""Дубненский машиностроительный завод им. Н.П. Федорова""",141983,Дубна,"ул. Жуковского, 2 стр 1",,oao@dmzdubna.ru,,http://dmzdubna.ru
ПАО «ЕлецГидроАгрегат»,399784,Елец,"ул. Барковского, 3",,oz102030@yandex.ru,,http://gidroagregat.ru
Завод высокопрочного крепежа «БЕРВЕЛ»,,Рыбное,"Малое ш., стр. 1",,snab@bervel.ru,,http://bervel.ru
"ООО ""Завод современного промышленного оборудования""",,Подольск,"ул. Рощинская, д.3",,salut1802@gmail.com; mief.llc@gmail.com,,http://zspogroup.ru
"ООО ЗМК ""Элемент""",141603,Клин,"ул. Терешковой, 48","емкости, силосы, пластиковые резервуары",1042@zmk-element.ru,,http://zmk-element.ru
ОАО «Искра»,,Александров,"Промышленный проезд, д.14",разнообразная металлопродукция для магистральных нефтегазопроводов,snab-iskra33@yandex.ru; info@iskra-al.ru,,http://iskra-al.ru
АО «Калужский Электромеханический Завод»,248002,Калуга,"ул.Салтыкова Щедрина ,121",,,7(4842)763-700,http://kemz-kaluga.ru
"ЗАО ""КЗМК ""ТЭМПО""",,Набережныеи Челны,,,tempo2737@mail.ru,,https://kzmktempo.ru
ООО «Линк-Продукт»,300028,Тула,"ул. Болдина, дом 94, оф.218",Насосное оборудование,omts@linkprodukt.ru; to@linkprodukt.ru; konstruktor@linkprodukt.ru,,http://www.linkprodukt.ru
МВЗ им. М.Л. Миля,140070,,"Московская область, Люберецкий район, поселок Томилино, улица Гаршина, дом 26/1",,,7(495)669-23-90,http://www.russianhelicopters.aero
ЗАО Научно-производственное объединение «АХТУБА»,,,"Волгоградская область, Среднеахтубинский р-н, р.п. Средняя Ахтуба, ул. Кузнецкая, 26",,info@npo-ahtuba.ru,7(84479)5-41-60,http://npo-ahtuba.ru
ОАО «НПП ЭНЕРГОМАШ»,446010,Сызрань,"ул. Гидротурбинная, дом 13","Ремонт энергетического оборудования, бурового оборудования, ремонту магистральных нефтепродуктопроводов",info@npp-energomash.ru,7(8464)37-80-31; 7(8464)37-09-73,http://npp-energomash.ru
"ООО ""Озёрский механический завод""",140563,Озёры,"ул. Ленина, д. 209",,omz_ozery@mail.ru,,http://mr-omz.ru
ООО «ОКБ Механика»,,Москва,"ул. Ижорская, д. 8, корп. 1",,metallobrabotka@mehanika.ru,,http://www.okbmeh.ru
ООО «СКБ по сушилкам «Брянсксельмаш»,241020,Брянск,"проезд Московский, 83",,SDB32@mail.ru,,http://sushilka32b.ru
ООО «Томилинский электронный завод» ,140070,,"Московская область, Люберецкий район, пос.Томилино, ул. Гаршина, д.11",Производство электрон компонентов,snab@npptez.ru,,https://www.npptez.ru
ООО «Тульский завод горно-шахтного оборудования»,301107,,Тульской области Ленинский район пос.Шатск владение Я6 офис 84,,,,http://tzgsho.ru
"ООО ""УДРБРОКК""",,Москва,"3-я Магистральная д.12 стр.1, офис 134, 3-й этаж","Производство, обслуживание гидравлического оборудования и механизмов.",INFO@UDRBROKK.RU,,https://udrbrokk.ru
